,_startDate,_endDate,_value
95913,2020-04-26 08:01:26 +0200,2020-04-26 08:40:52 +0200,HKCategoryValueSleepAnalysisInBed
95914,2020-04-27 01:56:15 +0200,2020-04-27 09:07:58 +0200,HKCategoryValueSleepAnalysisInBed
95915,2020-04-29 01:20:00 +0200,2020-04-29 09:00:00 +0200,HKCategoryValueSleepAnalysisInBed
95916,2020-04-30 01:20:00 +0200,2020-04-30 09:00:22 +0200,HKCategoryValueSleepAnalysisInBed
95917,2020-04-30 09:00:36 +0200,2020-04-30 09:08:42 +0200,HKCategoryValueSleepAnalysisInBed
95918,2020-05-02 01:20:00 +0200,2020-05-02 07:47:47 +0200,HKCategoryValueSleepAnalysisInBed
95919,2020-05-02 07:47:53 +0200,2020-05-02 09:00:00 +0200,HKCategoryValueSleepAnalysisInBed
95920,2020-05-03 08:50:35 +0200,2020-05-03 09:00:03 +0200,HKCategoryValueSleepAnalysisInBed
95921,2020-05-07 01:20:05 +0200,2020-05-07 09:05:13 +0200,HKCategoryValueSleepAnalysisInBed
95922,2020-05-07 09:05:59 +0200,2020-05-07 09:38:43 +0200,HKCategoryValueSleepAnalysisInBed
95923,2020-05-08 01:20:00 +0200,2020-05-08 08:42:50 +0200,HKCategoryValueSleepAnalysisInBed
95924,2020-05-08 08:43:36 +0200,2020-05-08 09:02:01 +0200,HKCategoryValueSleepAnalysisInBed
95925,2020-05-09 01:20:00 +0200,2020-05-09 08:39:35 +0200,HKCategoryValueSleepAnalysisInBed
95926,2020-05-10 01:20:00 +0200,2020-05-10 09:15:57 +0200,HKCategoryValueSleepAnalysisInBed
95927,2020-05-10 09:16:19 +0200,2020-05-10 09:23:34 +0200,HKCategoryValueSleepAnalysisInBed
95928,2020-05-10 09:25:15 +0200,2020-05-10 09:28:30 +0200,HKCategoryValueSleepAnalysisInBed
95929,2020-05-11 01:20:00 +0200,2020-05-11 08:07:39 +0200,HKCategoryValueSleepAnalysisInBed
95930,2020-05-12 01:20:00 +0200,2020-05-12 08:02:34 +0200,HKCategoryValueSleepAnalysisInBed
95931,2020-05-13 01:20:00 +0200,2020-05-13 09:00:02 +0200,HKCategoryValueSleepAnalysisInBed
95932,2020-05-14 02:56:19 +0200,2020-05-14 09:26:42 +0200,HKCategoryValueSleepAnalysisInBed
95933,2020-05-14 09:26:46 +0200,2020-05-14 09:36:53 +0200,HKCategoryValueSleepAnalysisInBed
95934,2020-05-14 09:40:49 +0200,2020-05-14 09:40:50 +0200,HKCategoryValueSleepAnalysisInBed
95935,2020-05-14 09:40:51 +0200,2020-05-14 09:40:56 +0200,HKCategoryValueSleepAnalysisInBed
95936,2020-05-14 09:40:56 +0200,2020-05-14 09:41:03 +0200,HKCategoryValueSleepAnalysisInBed
95937,2020-05-14 09:43:00 +0200,2020-05-14 09:43:02 +0200,HKCategoryValueSleepAnalysisInBed
95938,2020-05-14 09:46:30 +0200,2020-05-14 09:46:59 +0200,HKCategoryValueSleepAnalysisInBed
95939,2020-05-14 09:47:48 +0200,2020-05-14 10:09:23 +0200,HKCategoryValueSleepAnalysisInBed
95940,2020-05-14 10:23:45 +0200,2020-05-14 10:23:59 +0200,HKCategoryValueSleepAnalysisInBed
95941,2020-05-14 10:24:06 +0200,2020-05-14 10:25:17 +0200,HKCategoryValueSleepAnalysisInBed
95942,2020-05-14 10:25:20 +0200,2020-05-14 10:30:31 +0200,HKCategoryValueSleepAnalysisInBed
95943,2020-05-17 02:22:26 +0200,2020-05-17 08:30:34 +0200,HKCategoryValueSleepAnalysisInBed
95944,2020-05-17 08:30:37 +0200,2020-05-17 10:30:36 +0200,HKCategoryValueSleepAnalysisInBed
95945,2020-05-18 05:43:30 +0200,2020-05-18 10:00:35 +0200,HKCategoryValueSleepAnalysisInBed
95946,2020-05-18 10:01:30 +0200,2020-05-18 10:30:27 +0200,HKCategoryValueSleepAnalysisInBed
95947,2020-05-20 05:20:00 +0200,2020-05-20 09:00:41 +0200,HKCategoryValueSleepAnalysisInBed
95948,2020-05-21 08:58:03 +0200,2020-05-21 09:04:11 +0200,HKCategoryValueSleepAnalysisInBed
