"Time","lat","long","alt","alt_WGS84","speed","dir","dist","horizontal_acc","vertical_acc","sattelites"
7.599625969E1,5.234209619E1,4.868150831E0,1.072193111E0,4.378828059E1,5.754929874E0,3.593632334E2,5.081927846E-1,4.748646701E0,4.748646701E0,-1.000000000E0
7.699624872E1,5.234213636E1,4.868170566E0,1.112138982E0,4.382815862E1,4.889917983E0,1.573990492E0,5.125449158E-1,4.750766932E0,4.750766932E0,-1.000000000E0
7.799623787E1,5.234217538E1,4.868165439E0,7.556868009E-1,4.347165448E1,4.418469956E0,3.510386704E2,5.182712209E-1,4.757587703E0,4.757587703E0,-1.000000000E0
7.899622655E1,5.234222330E1,4.868196309E0,8.955106465E-1,4.361139318E1,4.516346644E0,3.557125316E2,5.252484710E-1,4.751598689E0,4.751598689E0,-1.000000000E0
7.999621642E1,5.234228542E1,4.868210801E0,1.410736862E0,4.412652367E1,5.478195082E0,3.558926001E2,5.312715616E-1,4.748617105E0,4.748617105E0,-1.000000000E0
8.099620616E1,5.234233675E1,4.868239079E0,1.226460672E0,4.394215902E1,5.409178861E0,3.139593026E0,5.360561991E-1,4.744728675E0,4.744728675E0,-1.000000000E0
8.199619639E1,5.234237957E1,4.868246056E0,1.452684831E0,4.416831892E1,4.798983523E0,3.586004315E2,5.406216051E-1,4.745211402E0,4.745211402E0,-1.000000000E0
8.299618554E1,5.234242037E1,4.868253642E0,1.816457428E0,4.453202976E1,4.323204441E0,5.131754583E0,5.445887050E-1,4.752739111E0,4.752739111E0,-1.000000000E0
8.399617529E1,5.234244902E1,4.868288431E0,1.151407176E0,4.386691923E1,3.443463190E0,2.450213932E1,5.488813083E-1,4.753009476E0,4.753009476E0,-1.000000000E0
8.499616563E1,5.234247641E1,4.868332965E0,4.662211686E-1,4.318166912E1,3.609665159E0,4.215831554E1,5.542112924E-1,4.749783009E0,4.749783009E0,-1.000000000E0
8.599615586E1,5.234250312E1,4.868398110E0,7.592595788E-1,4.347463256E1,4.633106151E0,5.379348898E1,5.594407938E-1,4.745152400E0,4.745152400E0,-1.000000000E0
8.699614668E1,5.234253101E1,4.868460101E0,-1.895948686E-1,4.252570330E1,5.118139184E0,5.344995338E1,5.636716578E-1,4.737123693E0,4.737123693E0,-1.000000000E0
8.799613690E1,5.234255571E1,4.868507474E0,1.502429372E0,4.421766560E1,4.717048416E0,4.477332417E1,5.699737732E-1,4.728043360E0,4.728043360E0,-1.000000000E0
8.899612844E1,5.234260163E1,4.868561831E0,2.336256209E0,4.505139661E1,5.518090024E0,3.592215425E1,5.746265548E-1,4.727975168E0,4.727975168E0,-1.000000000E0
8.999611866E1,5.234264296E1,4.868572588E0,2.109578663E0,4.482465474E1,5.061153814E0,1.765068305E1,5.763681443E-1,4.731894763E0,4.731894763E0,-1.000000000E0
9.099610984E1,5.234265403E1,4.868554449E0,1.872782429E0,4.458785334E1,2.963773696E0,3.542228473E2,5.812224163E-1,4.733086236E0,4.733086236E0,-1.000000000E0
9.199610043E1,5.234269697E1,4.868541631E0,1.597157344E0,4.431217518E1,3.710241787E0,3.484305096E2,5.837807965E-1,4.740974305E0,4.740974305E0,-1.000000000E0
9.299609160E1,5.234271998E1,4.868541863E0,1.971476139E0,4.468646146E1,2.994842024E0,3.560135914E2,5.904298037E-1,4.742994214E0,4.742994214E0,-1.000000000E0
9.399608362E1,5.234277957E1,4.868533652E0,1.276040751E0,4.399094694E1,4.537777585E0,3.562992593E2,5.946765145E-1,4.737064071E0,4.737064071E0,-1.000000000E0
9.499607420E1,5.234281703E1,4.868521487E0,1.013396686E0,4.372825714E1,4.344564651E0,3.459857499E2,5.996879394E-1,4.742005122E0,4.742005122E0,-1.000000000E0
9.599606550E1,5.234286164E1,4.868531935E0,1.306842412E0,4.402163409E1,4.524278504E0,3.597065060E2,6.018864268E-1,4.760737714E0,4.760737714E0,-1.000000000E0
9.699605656E1,5.234288017E1,4.868520629E0,-1.831146041E-1,4.253165750E1,3.439839195E0,3.552592927E2,6.095675662E-1,4.780078439E0,4.780078439E0,-1.000000000E0
9.799604774E1,5.234294898E1,4.868530541E0,-6.358317137E-1,4.207883787E1,5.172024850E0,3.717919974E0,6.147304725E-1,4.792003493E0,4.792003493E0,-1.000000000E0
9.899604011E1,5.234299541E1,4.868529830E0,3.283152636E-2,4.274743618E1,5.114721138E0,5.704607437E0,6.181290573E-1,4.844665606E0,4.844665606E0,-1.000000000E0
9.999603117E1,5.234302356E1,4.868510332E0,-1.147559895E0,4.156701634E1,3.814940042E0,3.599828948E2,6.231943197E-1,4.847351557E0,4.847351557E0,-1.000000000E0
1.009960232E2,5.234306908E1,4.868513223E0,-9.161838684E-1,4.179832666E1,3.621488924E0,8.389401324E0,6.279248930E-1,4.845558220E0,4.845558220E0,-1.000000000E0
1.019960148E2,5.234310878E1,4.868488221E0,-3.612113772E-1,4.235325762E1,3.167981176E0,3.590918384E2,6.311937219E-1,4.845314786E0,4.845314786E0,-1.000000000E0
1.029960059E2,5.234313188E1,4.868517997E0,-1.336779268E-1,4.258074149E1,2.584941988E0,3.134199852E1,6.351174250E-1,4.871561803E0,4.871561803E0,-1.000000000E0
1.039959979E2,5.234316591E1,4.868502730E0,-2.116869045E0,4.059751124E1,2.218820637E0,1.807099870E1,6.421062614E-1,4.873466816E0,4.873466816E0,-1.000000000E0
1.049959898E2,5.234322863E1,4.868496109E0,-1.260749924E0,4.145354591E1,2.868097505E0,8.793249452E0,6.511445685E-1,4.867637306E0,4.867637306E0,-1.000000000E0
1.059959819E2,5.234330796E1,4.868467087E0,-5.771454265E-1,4.213705544E1,4.056971291E0,3.551776136E2,6.610094039E-1,4.856384531E0,4.856384531E0,-1.000000000E0
1.069959735E2,5.234339449E1,4.868435050E0,7.824933408E-1,4.349659083E1,5.372221094E0,3.502293506E2,6.692530330E-1,4.835232971E0,4.835232971E0,-1.000000000E0
1.079959658E2,5.234346442E1,4.868394787E0,6.051432220E-1,4.331916541E1,5.041309467E0,3.435292853E2,6.800440935E-1,4.831774614E0,4.831774614E0,-1.000000000E0
1.089959575E2,5.234355019E1,4.868320445E0,5.564930355E-1,4.327043722E1,5.950324044E0,3.349788105E2,6.898845795E-1,4.825937856E0,4.825937856E0,-1.000000000E0
1.099959486E2,5.234363383E1,4.868273128E0,1.869980805E-1,4.290085174E1,6.660703472E0,3.391934013E2,7.001139077E-1,4.824024631E0,4.824024631E0,-1.000000000E0
1.109959407E2,5.234371625E1,4.868206236E0,-3.731129505E-1,4.234066313E1,6.430750207E0,3.395638310E2,7.080358379E-1,4.813466769E0,4.813466769E0,-1.000000000E0
1.119959337E2,5.234378356E1,4.868168005E0,-6.069552051E-1,4.210674812E1,6.049005887E0,3.433376535E2,7.145711144E-1,4.810816004E0,4.810816004E0,-1.000000000E0
1.129959254E2,5.234384071E1,4.868145560E0,-1.655250451E0,4.105838535E1,5.291425096E0,3.474528780E2,7.223991781E-1,4.804997751E0,4.804997751E0,-1.000000000E0
1.139959170E2,5.234390989E1,4.868124213E0,-1.178704178E0,4.153484653E1,5.751435473E0,3.493098499E2,7.294594230E-1,4.799878480E0,4.799878480E0,-1.000000000E0
