Time,x,y,z,abs
3.313547708E0,1.145612001E0,4.610963345E0,-3.901863098E-2,4.751308480E0
3.323522708E0,6.761421561E-1,3.955180645E0,3.412066400E-2,4.012703125E0
3.333496708E0,3.234573305E-1,3.485580206E0,2.754025906E-2,3.500664577E0
3.343471708E0,7.311497629E-2,3.209727764E0,3.464928269E-2,3.210747373E0
3.353446708E0,-1.090013012E-1,3.087907553E0,8.739824593E-2,3.091066611E0
3.363421708E0,-2.694786191E-1,3.030443192E0,1.346284300E-1,3.045378380E0
3.373395708E0,-3.683439195E-1,2.969301224E0,2.040671557E-1,2.999011571E0
3.383370708E0,-3.665060997E-1,3.065994263E0,2.689425647E-1,3.099512485E0
3.393345708E0,-2.833534181E-1,3.257531881E0,2.916800976E-1,3.282815925E0
3.403320708E0,-1.000303552E-1,3.422355413E0,3.785468042E-1,3.444680004E0
3.413295708E0,1.467775702E-1,3.453433752E0,4.688548744E-1,3.488204872E0
3.423269708E0,3.457920551E-1,3.379140139E0,4.586755335E-1,3.427614836E0
3.433244708E0,4.138797820E-1,3.303044319E0,3.193253577E-1,3.344154143E0
3.443219708E0,3.958167732E-1,3.294651031E0,1.410572976E-1,3.321339112E0
3.453194708E0,3.138390779E-1,3.314297915E0,-4.963888228E-2,3.329493903E0
3.463168708E0,1.779244989E-1,3.402971983E0,-2.239571214E-1,3.414971777E0
3.473143708E0,2.237378433E-2,3.581076622E0,-3.891822696E-1,3.602231697E0
3.483118708E0,-1.028389856E-1,3.836589098E0,-4.842578769E-1,3.868397272E0
3.493093708E0,-2.327429205E-1,3.898080587E0,-3.944717944E-1,3.924896117E0
3.503068125E0,-4.055842459E-1,3.778958321E0,-1.856897175E-1,3.805194508E0
3.513042125E0,-5.091037154E-1,3.580705166E0,3.199813515E-2,3.616857747E0
3.523017125E0,-4.669281542E-1,3.190020084E0,2.193014622E-1,3.231461461E0
3.532992125E0,-3.677639961E-1,2.802090645E0,3.398702145E-1,2.846484516E0
3.542967125E0,-3.182051182E-1,2.582260370E0,3.889261484E-1,2.630700794E0
3.552941125E0,-3.050850630E-1,2.319660664E0,3.434657156E-1,2.364713764E0
3.562916125E0,-2.754996717E-1,2.105636835E0,2.653697431E-1,2.140099916E0
3.572891125E0,-2.269097716E-1,1.955989480E0,2.090864927E-1,1.980176773E0
3.582866125E0,-1.612478197E-1,1.908272982E0,1.837855875E-1,1.923872078E0
3.592841125E0,-1.199280694E-1,1.926568031E0,2.277349234E-1,1.943684727E0
3.602815125E0,-1.381496787E-1,1.956783772E0,3.085384369E-1,1.985770387E0
3.612790125E0,-1.171463951E-1,1.843273997E0,4.016247094E-1,1.890154680E0
3.622765125E0,-3.964262456E-2,1.661389351E0,5.625519156E-1,1.754494449E0
3.632740125E0,5.725010112E-2,1.392045259E0,7.237687707E-1,1.570002806E0
3.642715125E0,1.473264098E-1,1.119536400E0,8.179453015E-1,1.394310345E0
3.652689125E0,1.907915920E-1,8.510497808E-1,8.352441192E-1,1.207609167E0
3.662664125E0,2.019603699E-1,6.634926796E-1,8.064903021E-1,1.063690338E0
3.672639125E0,2.177270800E-1,5.769261122E-1,7.700923681E-1,9.865551559E-1
3.682614125E0,2.592038214E-1,5.295543671E-1,7.757682204E-1,9.743873873E-1
3.692588125E0,3.605147302E-1,3.621376455E-1,8.286061287E-1,9.735002113E-1
3.702563125E0,4.939861596E-1,1.776920632E-2,9.355126619E-1,1.058074672E0
3.712538125E0,6.073798537E-1,-5.340892076E-1,1.122970939E0,1.383916651E0
3.722513125E0,6.464146972E-1,-1.369787097E0,1.402383924E0,2.064182482E0
3.732488125E0,6.188685298E-1,-2.611580849E0,1.749494672E0,3.203760976E0
3.742462125E0,5.045570731E-1,-4.164286613E0,2.101210356E0,4.691582441E0
3.752437125E0,2.637884319E-1,-5.770656586E0,2.357813120E0,6.239338465E0
3.762412125E0,-1.163659170E-1,-7.277648926E0,2.592139959E0,7.726377190E0
3.772387125E0,-5.077011585E-1,-8.600674629E0,2.754833937E0,9.045356519E0
3.782362125E0,-7.816497087E-1,-9.486861229E0,2.843753576E0,9.934709188E0
3.792336125E0,-9.322717190E-1,-9.957428932E0,2.951488018E0,1.042740634E1
3.802311125E0,-9.181736708E-1,-1.015601635E1,3.018707037E0,1.063486263E1
3.812286125E0,-8.485479951E-1,-1.020028782E1,3.011141539E0,1.066924921E1
3.822261125E0,-7.948480844E-1,-1.033467579E1,2.994050026E0,1.078895930E1
3.832235125E0,-8.986394405E-1,-1.068930912E1,3.042995930E0,1.115027832E1
3.842210125E0,-1.141763806E0,-1.111188889E1,3.120540142E0,1.159808044E1
3.852185125E0,-1.470006108E0,-1.148049355E1,3.219626665E0,1.201368577E1
3.862160125E0,-1.801073551E0,-1.176377296E1,3.328017235E0,1.235742364E1
3.872135125E0,-2.047946692E0,-1.198643112E1,3.485493422E0,1.264979372E1
3.882109125E0,-2.203366995E0,-1.220479584E1,3.681170464E0,1.293688075E1
3.892084125E0,-2.308740854E0,-1.235513878E1,3.798091888E0,1.313031761E1
3.902059125E0,-2.377863407E0,-1.222510624E1,3.752557993E0,1.300727291E1
3.912034125E0,-2.382735491E0,-1.186179066E1,3.634273291E0,1.263279258E1
3.922008125E0,-2.287249088E0,-1.149314022E1,3.485098362E0,1.222577978E1
3.931983125E0,-2.079548120E0,-1.118740845E1,3.274523497E0,1.184082481E1
3.941958125E0,-1.905104756E0,-1.087665653E1,2.962612629E0,1.143276673E1
3.951933125E0,-1.891512275E0,-1.046258926E1,2.668893576E0,1.096205208E1
3.961908125E0,-2.039108753E0,-9.923655510E0,2.422298193E0,1.041654606E1
3.971882125E0,-2.359128714E0,-9.266317368E0,2.134671450E0,9.797292894E0
3.981857125E0,-2.796838522E0,-8.616455078E0,1.893591762E0,9.254798409E0
3.991832125E0,-3.186329842E0,-8.261434555E0,1.865933537E0,9.049072148E0
4.001807125E0,-3.359821558E0,-8.328719139E0,1.971698642E0,9.194757144E0
4.011782125E0,-3.427528381E0,-8.833877563E0,2.140243530E0,9.714215665E0
4.021756125E0,-3.397804737E0,-9.397070885E0,2.289384604E0,1.025140479E1
4.031731125E0,-3.402523518E0,-1.000797558E1,2.533405781E0,1.086990737E1
4.041706125E0,-3.414602280E0,-1.046002769E1,2.649756908E0,1.131781338E1
4.051681125E0,-3.468922615E0,-1.083016396E1,2.745102882E0,1.169878050E1
4.061656125E0,-3.602275610E0,-1.088024902E1,2.841144085E0,1.180797646E1
4.071630125E0,-3.710615396E0,-1.025926018E1,2.839246511E0,1.127308329E1
4.081605125E0,-3.769196749E0,-9.118004799E0,2.598486900E0,1.020279324E1
4.091580125E0,-2.725040197E0,-6.277389526E0,2.144660234E0,7.171543130E0
4.101555125E0,-2.055480957E0,-4.985235214E0,1.620324731E0,5.630543876E0
4.111529125E0,-1.442287087E0,-3.314172506E0,1.577955246E0,3.943840033E0
4.121504125E0,-8.832818270E-1,-2.263543129E0,1.548655152E0,2.881344662E0
