"Time (s)","Peak-Frequency"
3.090757217E1,1.171875000E2
3.096931254E1,9.375000000E1
3.103501479E1,9.375000000E1
3.109952775E1,9.375000000E1
3.116148317E1,9.375000000E1
3.122754621E1,7.031250000E1
3.129003588E1,7.031250000E1
3.135265338E1,7.031250000E1
3.141931571E1,7.031250000E1
3.148172267E1,9.375000000E1
3.154750213E1,9.375000000E1
3.161157838E1,9.375000000E1
3.167433063E1,9.375000000E1
3.173598846E1,9.375000000E1
3.180265904E1,9.375000000E1
3.186696246E1,9.375000000E1
3.193157454E1,1.171875000E2
3.199269767E1,1.171875000E2
3.205756492E1,1.171875000E2
3.211930350E1,1.171875000E2
3.218605696E1,1.171875000E2
3.225162088E1,1.171875000E2
3.231563433E1,1.171875000E2
3.237961779E1,3.281250000E2
3.244150529E1,4.687500000E2
3.250752550E1,4.687500000E2
3.256947596E1,7.031250000E1
3.263499858E1,7.031250000E1
3.269955367E1,7.031250000E1
3.276361958E1,1.406250000E2
3.282755642E1,9.375000000E1
3.289151262E1,9.375000000E1
3.295271938E1,9.375000000E1
3.301940717E1,9.375000000E1
3.308333671E1,1.406250000E2
3.314731550E1,1.171875000E2
3.321166208E1,1.171875000E2
3.327553763E1,9.375000000E1
3.333615925E1,9.375000000E1
3.340274283E1,9.375000000E1
3.346701308E1,9.375000000E1
3.353149362E1,7.031250000E1
3.359561092E1,7.031250000E1
3.365953758E1,9.375000000E1
3.371935967E1,1.406250000E2
3.378613888E1,1.406250000E2
3.385157667E1,1.640625000E2
3.391552746E1,1.640625000E2
3.397952225E1,1.640625000E2
3.404353813E1,9.375000000E1
3.410758442E1,9.375000000E1
3.416944254E1,1.406250000E2
3.423438029E1,1.406250000E2
3.429956608E1,1.406250000E2
3.436359475E1,1.406250000E2
3.442759033E1,1.171875000E2
3.449146763E1,1.171875000E2
3.455278121E1,9.375000000E1
3.461903533E1,9.375000000E1
3.468331083E1,1.406250000E2
3.474755200E1,3.281250000E2
3.481157029E1,3.281250000E2
3.487524188E1,1.406250000E2
3.493617396E1,1.406250000E2
3.500291442E1,1.406250000E2
3.506699962E1,1.171875000E2
3.513148342E1,5.625000000E2
3.519557833E1,5.625000000E2
3.525947642E1,9.375000000E1
3.531944950E1,9.375000000E1
3.538614004E1,9.375000000E1
3.545087908E1,9.375000000E1
3.551562612E1,9.375000000E1
3.557922250E1,9.375000000E1
3.564053000E1,9.375000000E1
3.570744058E1,9.375000000E1
3.576957304E1,9.375000000E1
3.583498642E1,1.171875000E2
3.589950696E1,1.171875000E2
3.596358008E1,9.375000000E1
3.602486158E1,9.375000000E1
3.609079379E1,9.375000000E1
3.615287121E1,7.031250000E1
3.621893504E1,7.031250000E1
3.628286538E1,1.171875000E2
3.634752833E1,1.171875000E2
3.640849858E1,1.171875000E2
3.647548396E1,9.375000000E1
3.653629521E1,5.156250000E2
3.660290654E1,5.156250000E2
3.666712908E1,1.171875000E2
3.672957992E1,5.625000000E2
3.679556092E1,5.625000000E2
3.685956475E1,9.375000000E1
3.691971996E1,1.406250000E2
3.698622546E1,1.406250000E2
3.705095908E1,1.406250000E2
3.711554858E1,1.406250000E2
3.717956192E1,9.375000000E1
3.724350046E1,4.921875000E2
3.730731200E1,4.921875000E2
3.736962792E1,9.375000000E1
3.743503083E1,9.375000000E1
3.749945867E1,9.375000000E1
3.756366125E1,3.281250000E2
3.762597546E1,9.375000000E1
3.769138067E1,9.375000000E1
3.775296879E1,5.390625000E2
3.781892108E1,5.390625000E2
3.788343729E1,3.281250000E2
3.794749963E1,1.406250000E2
