"Frequency (Hz)","Absolute Amplitude (a.u.)"
9.351562500E3,4.066849377E-2
9.375000000E3,3.300561548E-2
9.398437500E3,5.898090651E-2
9.421875000E3,3.808078934E-2
9.445312500E3,1.190294598E-2
9.468750000E3,3.395018860E-2
9.492187500E3,4.235970006E-2
9.515625000E3,2.364606548E-2
9.539062500E3,4.365466758E-2
9.562500000E3,3.901947647E-2
9.585937500E3,3.493735566E-2
9.609375000E3,3.550969837E-2
9.632812500E3,1.567600433E-2
9.656250000E3,4.669169223E-2
9.679687500E3,2.502016165E-2
9.703125000E3,5.316314436E-3
9.726562500E3,3.283288952E-2
9.750000000E3,1.916256085E-2
9.773437500E3,3.128392737E-2
9.796875000E3,6.223858824E-3
9.820312500E3,1.246117212E-2
9.843750000E3,2.965064179E-2
9.867187500E3,2.192054175E-2
9.890625000E3,8.527466776E-3
9.914062500E3,3.618480437E-2
9.937500000E3,9.204532222E-2
9.960937500E3,2.491746433E-2
9.984375000E3,4.188862018E-2
1.000781250E4,2.234356531E-2
1.003125000E4,1.438888920E-2
1.005468750E4,2.717358276E-2
1.007812500E4,4.030225628E-3
1.010156250E4,1.085507432E-2
1.012500000E4,1.240584792E-2
1.014843750E4,3.653590000E-3
1.017187500E4,1.917903386E-2
1.019531250E4,5.081854546E-3
1.021875000E4,5.402054602E-3
1.024218750E4,2.454631679E-2
1.026562500E4,1.505496665E-2
1.028906250E4,3.614059364E-2
1.031250000E4,1.336833349E-2
1.033593750E4,4.556957037E-2
1.035937500E4,2.858603477E-2
1.038281250E4,2.497491071E-2
1.040625000E4,1.415519760E-2
1.042968750E4,2.861069950E-2
1.045312500E4,7.439961372E-3
1.047656250E4,1.092498568E-2
1.050000000E4,6.262860952E-3
1.052343750E4,4.990990663E-3
1.054687500E4,6.853064175E-3
1.057031250E4,1.727739410E-2
1.059375000E4,5.727676234E-3
1.061718750E4,9.475007329E-3
1.064062500E4,9.358415748E-3
1.066406250E4,9.358858096E-3
1.068750000E4,5.482977689E-3
1.071093750E4,2.794139905E-3
1.073437500E4,6.861939569E-3
1.075781250E4,3.185653941E-3
1.078125000E4,1.403153428E-2
1.080468750E4,1.061238517E-2
1.082812500E4,5.904447404E-3
1.085156250E4,6.525652505E-3
1.087500000E4,5.058638054E-3
1.089843750E4,7.542244639E-3
1.092187500E4,5.395713383E-3
1.094531250E4,4.556709915E-3
1.096875000E4,4.179903268E-3
1.099218750E4,4.538118259E-3
1.101562500E4,2.791141150E-2
1.103906250E4,8.339628597E-3
1.106250000E4,3.345699999E-3
1.108593750E4,7.430455066E-3
1.110937500E4,6.961651776E-3
1.113281250E4,2.321496075E-2
1.115625000E4,2.395718619E-2
1.117968750E4,1.032336308E-2
